t_start,pps_mawi,bps_mawi,syn_mawi,ack_mawi,reset_mawi,rst_mawi,fin_mawi,n_ip_src_mawi,n_ip_dst_mawi,H_ip_src_mawi,H_ip_dst_mawi,syn_percent_mawi,syn_ack_ratio_mawi
0.0,32777,18954112.0,0,0,0,0,0,10,5,2.034600555171611,0.1440029156276915,0.0,0.0
1.0,33235,19738832.0,0,0,0,0,0,11,6,2.0322219525842837,0.1637176131853427,0.0,0.0
2.0,28820,17609816.0,0,0,0,0,0,10,5,2.020453999207632,0.1836635557151092,0.0,0.0
3.0,42643,24245096.0,0,0,0,0,0,11,6,1.9134563037996806,0.13319381428186106,0.0,0.0
4.0,35797,20955744.0,0,0,0,0,0,12,7,1.9850300680779813,0.1536553548021337,0.0,0.0
5.0,39480,22726696.0,0,0,0,0,0,11,6,2.084449257417366,0.14143470438657685,0.0,0.0
6.0,49351,27474920.0,0,0,0,0,0,13,8,1.9937743492364532,0.11880279778610717,0.0,0.0
7.0,51330,28414776.0,0,0,0,0,0,12,7,1.9634436570837754,0.11356462112184809,0.0,0.0
8.0,53828,29613816.0,0,0,0,0,0,12,7,1.9947120578328679,0.10906296576667472,0.0,0.0
9.0,73373,38995416.0,0,0,0,0,0,12,7,2.0026781066065027,0.08368296559477048,0.0,0.0
10.0,62964,34001520.0,0,0,0,0,0,13,8,2.0247860691148407,0.0958121294966072,0.0,0.0
11.0,81992,43142496.0,0,0,0,0,0,12,7,1.9941041106264596,0.0767212641138787,0.0,0.0
12.0,73252,38937256.0,0,0,0,0,0,11,6,2.007872347944157,0.08356146265083957,0.0,0.0
13.0,58079,31643384.0,0,0,0,0,0,12,7,2.042630987119029,0.10177866288167468,0.0,0.0
14.0,67763,36277096.0,0,0,0,0,0,12,7,1.96089230150191,0.08908288082251475,0.0,0.0
15.0,75902,40211656.0,0,0,0,0,0,12,7,1.9302814888637712,0.08139560708873138,0.0,0.0
16.0,58993,32102856.0,0,0,0,0,0,12,7,2.0604531425426336,0.10140268803107536,0.0,0.0
17.0,72032,38351656.0,0,0,0,0,0,11,6,2.0454602637329358,0.08477440867161136,0.0,0.0
18.0,90015,46968288.0,0,0,0,0,0,11,6,1.9566942818439892,0.06956783661780962,0.0,0.0
19.0,56632,30959656.0,0,0,0,0,0,11,6,2.059302543479371,0.10413938509144355,0.0,0.0
20.0,74108,39348056.0,0,0,0,0,0,10,5,1.9590527479170783,0.08249469533319459,0.0,0.0
21.0,41451,23685104.0,0,0,0,0,0,12,7,2.110970652268052,0.13721991351284482,0.0,0.0
22.0,598,4063256.0,0,0,0,0,0,6,4,2.2559856455381953,1.8330738332218757,0.0,0.0
23.0,598,4063256.0,0,0,0,0,0,6,4,2.2559856455381953,1.8330738332218757,0.0,0.0
24.0,598,4063256.0,0,0,0,0,0,6,4,2.2559856455381953,1.8330738332218757,0.0,0.0
25.0,598,4063256.0,0,0,0,0,0,6,4,2.2559856455381953,1.8330738332218757,0.0,0.0
26.0,605,4079104.0,0,0,0,0,0,8,6,2.316504572776034,1.8941989956576084,0.0,0.0
27.0,598,4063256.0,0,0,0,0,0,6,4,2.2559856455381953,1.8330738332218757,0.0,0.0
28.0,598,4063256.0,0,0,0,0,0,6,4,2.2559856455381953,1.8330738332218757,0.0,0.0
29.0,598,4063256.0,0,0,0,0,0,6,4,2.2559856455381953,1.8330738332218757,0.0,0.0
30.0,598,4063256.0,0,0,0,0,0,6,4,2.2559856455381953,1.8330738332218757,0.0,0.0
31.0,604,4078480.0,0,0,0,0,0,7,5,2.293036365398596,1.8679105082701937,0.0,0.0
32.0,598,4063256.0,0,0,0,0,0,6,4,2.2559856455381953,1.8330738332218757,0.0,0.0
33.0,598,4063256.0,0,0,0,0,0,6,4,2.2559856455381953,1.8330738332218757,0.0,0.0
34.0,598,4063256.0,0,0,0,0,0,6,4,2.2559856455381953,1.8330738332218757,0.0,0.0
35.0,598,4063256.0,0,0,0,0,0,6,4,2.2559856455381953,1.8330738332218757,0.0,0.0
36.0,602,4077336.0,0,0,0,0,0,7,5,2.282724989174453,1.8583148992132446,0.0,0.0
37.0,598,4063256.0,0,0,0,0,0,6,4,2.2559856455381953,1.8330738332218757,0.0,0.0
38.0,598,4063256.0,0,0,0,0,0,6,4,2.2559856455381953,1.8330738332218757,0.0,0.0
39.0,598,4063256.0,0,0,0,0,0,6,4,2.2559856455381953,1.8330738332218757,0.0,0.0
40.0,598,4063256.0,0,0,0,0,0,6,4,2.2559856455381953,1.8330738332218757,0.0,0.0
41.0,600,4074040.0,0,0,0,0,0,7,5,2.271073377527061,1.8474011278022,0.0,0.0
42.0,598,4063256.0,0,0,0,0,0,6,4,2.2559856455381953,1.8330738332218757,0.0,0.0
43.0,598,4063256.0,0,0,0,0,0,6,4,2.2559856455381953,1.8330738332218757,0.0,0.0
44.0,598,4063256.0,0,0,0,0,0,6,4,2.2559856455381953,1.8330738332218757,0.0,0.0
45.0,600,4066640.0,0,0,0,0,0,7,5,2.271073377527061,1.8474011278022,0.0,0.0
46.0,602,4075064.0,0,0,0,0,0,7,5,2.282724989174453,1.8583148992132446,0.0,0.0
47.0,598,4063256.0,0,0,0,0,0,6,4,2.2559856455381953,1.8330738332218757,0.0,0.0
48.0,598,4063256.0,0,0,0,0,0,6,4,2.2559856455381953,1.8330738332218757,0.0,0.0
49.0,598,4063256.0,0,0,0,0,0,6,4,2.2559856455381953,1.8330738332218757,0.0,0.0
50.0,600,4066616.0,0,0,0,0,0,7,5,2.271073377527061,1.8474011278022,0.0,0.0
51.0,602,4075080.0,0,0,0,0,0,7,5,2.282724989174453,1.8583148992132446,0.0,0.0
52.0,598,4063256.0,0,0,0,0,0,6,4,2.2559856455381953,1.8330738332218757,0.0,0.0
53.0,598,4063256.0,0,0,0,0,0,6,4,2.2559856455381953,1.8330738332218757,0.0,0.0
54.0,598,4063256.0,0,0,0,0,0,6,4,2.2559856455381953,1.8330738332218757,0.0,0.0
55.0,598,4063256.0,0,0,0,0,0,6,4,2.2559856455381953,1.8330738332218757,0.0,0.0
56.0,600,4074016.0,0,0,0,0,0,7,5,2.271073377527061,1.8474011278022,0.0,0.0
57.0,598,4063256.0,0,0,0,0,0,6,4,2.2559856455381953,1.8330738332218757,0.0,0.0
58.0,598,4063256.0,0,0,0,0,0,6,4,2.2559856455381953,1.8330738332218757,0.0,0.0
59.0,600,4066640.0,0,0,0,0,0,7,5,2.271073377527061,1.8474011278022,0.0,0.0
60.0,598,4063256.0,0,0,0,0,0,6,4,2.2559856455381953,1.8330738332218757,0.0,0.0
61.0,600,4074040.0,0,0,0,0,0,7,5,2.271073377527061,1.8474011278022,0.0,0.0
62.0,598,4063256.0,0,0,0,0,0,6,4,2.2559856455381953,1.8330738332218757,0.0,0.0
