frame.time_epoch,ip.src,ip.dst,_ws.col.protocol,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,tcp.flags.syn,tcp.flags.ack,tcp.flags.reset,tcp.flags.fin,frame.len
"1528105147.226526000","192.168.100.6","192.168.100.3","TCP","80","80",,,"False","False","False","False","296"
"1528105147.226527000","192.168.100.3","192.168.100.55","TCP","80","8080",,,"False","False","False","False","679"
"1528105147.226530000","192.168.100.46","192.168.100.5","TCP","80","80",,,"False","False","False","False","647"
"1528105147.239004000","192.168.100.55","192.168.100.3","TCP","8080","80",,,"False","False","False","False","959"
"1528105147.239008000","192.168.100.3","192.168.100.55","TCP","80","8080",,,"False","False","False","False","1149"
"1528105147.239014000","192.168.100.46","192.168.100.5","TCP","80","80",,,"False","False","False","False","1220"
"1528105147.244558000","192.168.100.55","192.168.100.3","TCP","8080","80",,,"False","False","False","False","1364"
"1528105147.244560000","192.168.100.6","192.168.100.3","TCP","80","80",,,"False","False","False","False","296"
"1528105147.244562000","192.168.100.3","192.168.100.55","TCP","80","8080",,,"False","False","False","False","1302"
"1528105147.244567000","192.168.100.46","192.168.100.5","TCP","80","80",,,"False","False","False","False","580"
"1528105147.269483000","192.168.100.55","192.168.100.3","TCP","8080","80",,,"False","False","False","False","907"
"1528105147.269491000","192.168.100.3","192.168.100.55","TCP","80","8080",,,"False","False","False","False","1116"
"1528105147.269498000","192.168.100.46","192.168.100.5","TCP","80","80",,,"False","False","False","False","885"
"1528105147.281900000","192.168.100.55","192.168.100.3","TCP","8080","80",,,"False","False","False","False","1447"
"1528105147.281908000","192.168.100.3","192.168.100.55","TCP","80","8080",,,"False","False","False","False","1386"
"1528105147.281927000","192.168.100.46","192.168.100.5","TCP","80","80",,,"False","False","False","False","969"
"1528105147.294362000","192.168.100.55","192.168.100.3","TCP","8080","80",,,"False","False","False","False","1149"
"1528105147.294368000","192.168.100.6","192.168.100.3","TCP","80","80",,,"False","False","False","False","296"
"1528105147.294373000","192.168.100.3","192.168.100.55","TCP","80","8080",,,"False","False","False","False","855"
"1528105147.294382000","192.168.100.46","192.168.100.5","TCP","80","80",,,"False","False","False","False","702"
"1528105147.306771000","192.168.100.55","192.168.100.3","TCP","8080","80",,,"False","False","False","False","660"
"1528105147.306780000","192.168.100.3","192.168.100.55","TCP","80","8080",,,"False","False","False","False","1332"
"1528105147.306788000","192.168.100.46","192.168.100.5","TCP","80","80",,,"False","False","False","False","1189"
"1528105147.319189000","192.168.100.55","192.168.100.3","TCP","8080","80",,,"False","False","False","False","1080"
"1528105147.319206000","192.168.100.3","192.168.100.55","TCP","80","8080",,,"False","False","False","False","551"
"1528105147.319214000","192.168.100.46","192.168.100.5","TCP","80","80",,,"False","False","False","False","995"
"1528105147.331612000","192.168.100.55","192.168.100.3","TCP","8080","80",,,"False","False","False","False","1396"
"1528105147.331617000","192.168.100.6","192.168.100.3","TCP","80","80",,,"False","False","False","False","296"
"1528105147.331623000","192.168.100.3","192.168.100.55","TCP","80","8080",,,"False","False","False","False","619"
"1528105147.331632000","192.168.100.46","192.168.100.5","TCP","80","80",,,"False","False","False","False","520"
"1528105147.344054000","192.168.100.55","192.168.100.3","TCP","8080","80",,,"False","False","False","False","1467"
"1528105147.344062000","192.168.100.3","192.168.100.55","TCP","80","8080",,,"False","False","False","False","1446"
"1528105147.344072000","192.168.100.46","192.168.100.5","TCP","80","80",,,"False","False","False","False","466"
"1528105147.356475000","192.168.100.55","192.168.100.3","TCP","8080","80",,,"False","False","False","False","1369"
"1528105147.356484000","192.168.100.3","192.168.100.55","TCP","80","8080",,,"False","False","False","False","863"
"1528105147.356491000","192.168.100.46","192.168.100.5","TCP","80","80",,,"False","False","False","False","771"
"1528105147.368864000","192.168.100.55","192.168.100.3","TCP","8080","80",,,"False","False","False","False","890"
"1528105147.368869000","192.168.100.3","192.168.100.55","TCP","80","8080",,,"False","False","False","False","436"
"1528105147.372697000","192.168.100.6","192.168.100.3","TCP","80","80",,,"False","False","False","False","296"
"1528105147.372701000","192.168.100.46","192.168.100.5","TCP","80","80",,,"False","False","False","False","730"
"1528105147.381239000","192.168.100.3","192.168.100.55","TCP","80","8080",,,"False","False","False","False","1130"
"1528105147.381290000","192.168.100.55","192.168.100.3","TCP","8080","80",,,"False","False","False","False","732"
"1528105147.381299000","192.168.100.46","192.168.100.5","TCP","80","80",,,"False","False","False","False","459"
"1528105147.393742000","192.168.100.55","192.168.100.3","TCP","8080","80",,,"False","False","False","False","941"
"1528105147.393751000","192.168.100.3","192.168.100.55","TCP","80","8080",,,"False","False","False","False","731"
"1528105147.393759000","192.168.100.46","192.168.100.5","TCP","80","80",,,"False","False","False","False","1178"
"1528105147.406179000","192.168.100.55","192.168.100.3","TCP","8080","80",,,"False","False","False","False","1161"
"1528105147.406183000","192.168.100.6","192.168.100.3","TCP","80","80",,,"False","False","False","False","296"
"1528105147.406188000","192.168.100.3","192.168.100.55","TCP","80","8080",,,"False","False","False","False","973"
"1528105147.406203000","192.168.100.46","192.168.100.5","TCP","80","80",,,"False","False","False","False","1284"
"1528105147.418586000","192.168.100.55","192.168.100.3","TCP","8080","80",,,"False","False","False","False","1326"
"1528105147.418594000","192.168.100.3","192.168.100.55","TCP","80","8080",,,"False","False","False","False","1144"
"1528105147.418602000","192.168.100.46","192.168.100.5","TCP","80","80",,,"False","False","False","False","461"
"1528105147.431021000","192.168.100.55","192.168.100.3","TCP","8080","80",,,"False","False","False","False","610"
"1528105147.431027000","192.168.100.3","192.168.100.55","TCP","80","8080",,,"False","False","False","False","685"
"1528105147.431034000","192.168.100.46","192.168.100.5","TCP","80","80",,,"False","False","False","False","751"
"1528105147.443508000","192.168.100.55","192.168.100.3","TCP","8080","80",,,"False","False","False","False","1213"
"1528105147.443512000","192.168.100.6","192.168.100.3","TCP","80","80",,,"False","False","False","False","296"
"1528105147.443517000","192.168.100.3","192.168.100.55","TCP","80","8080",,,"False","False","False","False","635"
"1528105147.443528000","192.168.100.46","192.168.100.5","TCP","80","80",,,"False","False","False","False","1266"
"1528105147.455920000","192.168.100.55","192.168.100.3","TCP","8080","80",,,"False","False","False","False","1332"
"1528105147.455929000","192.168.100.3","192.168.100.55","TCP","80","8080",,,"False","False","False","False","872"
"1528105147.455938000","192.168.100.46","192.168.100.5","TCP","80","80",,,"False","False","False","False","925"
"1528105147.468361000","192.168.100.55","192.168.100.3","TCP","8080","80",,,"False","False","False","False","637"
"1528105147.468369000","192.168.100.3","192.168.100.55","TCP","80","8080",,,"False","False","False","False","597"
"1528105147.468376000","192.168.100.46","192.168.100.5","TCP","80","80",,,"False","False","False","False","621"
"1528105147.480896000","192.168.100.55","192.168.100.3","TCP","8080","80",,,"False","False","False","False","939"
"1528105147.480902000","192.168.100.6","192.168.100.3","TCP","80","80",,,"False","False","False","False","296"
"1528105147.480907000","192.168.100.3","192.168.100.55","TCP","80","8080",,,"False","False","False","False","617"
"1528105147.480914000","192.168.100.46","192.168.100.5","TCP","80","80",,,"False","False","False","False","705"
"1528105147.493213000","192.168.100.55","192.168.100.3","TCP","8080","80",,,"False","False","False","False","683"
"1528105147.493220000","192.168.100.3","192.168.100.55","TCP","80","8080",,,"False","False","False","False","919"
"1528105147.493229000","192.168.100.46","192.168.100.5","TCP","80","80",,,"False","False","False","False","964"
"1528105147.505643000","192.168.100.55","192.168.100.3","TCP","8080","80",,,"False","False","False","False","1168"
"1528105147.505657000","192.168.100.3","192.168.100.55","TCP","80","8080",,,"False","False","False","False","1166"
"1528105147.505665000","192.168.100.46","192.168.100.5","TCP","80","80",,,"False","False","False","False","1363"
"1528105147.518088000","192.168.100.55","192.168.100.3","TCP","8080","80",,,"False","False","False","False","1247"
"1528105147.518094000","192.168.100.6","192.168.100.3","TCP","80","80",,,"False","False","False","False","296"
"1528105147.518099000","192.168.100.3","192.168.100.55","TCP","80","8080",,,"False","False","False","False","888"
"1528105147.518118000","192.168.100.46","192.168.100.5","TCP","80","80",,,"False","False","False","False","532"
"1528105147.530467000","192.168.100.55","192.168.100.3","TCP","8080","80",,,"False","False","False","False","1398"
"1528105147.530476000","192.168.100.3","192.168.100.55","TCP","80","8080",,,"False","False","False","False","753"
"1528105147.530493000","192.168.100.46","192.168.100.5","TCP","80","80",,,"False","False","False","False","1023"
"1528105147.542930000","192.168.100.55","192.168.100.3","TCP","8080","80",,,"False","False","False","False","1458"
"1528105147.542939000","192.168.100.3","192.168.100.55","TCP","80","8080",,,"False","False","False","False","758"
"1528105147.542948000","192.168.100.46","192.168.100.5","TCP","80","80",,,"False","False","False","False","746"
"1528105147.555369000","192.168.100.55","192.168.100.3","TCP","8080","80",,,"False","False","False","False","734"
"1528105147.555374000","192.168.100.6","192.168.100.3","TCP","80","80",,,"False","False","False","False","296"
"1528105147.555378000","192.168.100.3","192.168.100.55","TCP","80","8080",,,"False","False","False","False","1357"
"1528105147.555395000","192.168.100.46","192.168.100.5","TCP","80","80",,,"False","False","False","False","1436"
"1528105147.567797000","192.168.100.55","192.168.100.3","TCP","8080","80",,,"False","False","False","False","867"
"1528105147.567806000","192.168.100.3","192.168.100.55","TCP","80","8080",,,"False","False","False","False","899"
"1528105147.567813000","192.168.100.46","192.168.100.5","TCP","80","80",,,"False","False","False","False","856"
"1528105147.580228000","192.168.100.55","192.168.100.3","TCP","8080","80",,,"False","False","False","False","717"
"1528105147.580245000","192.168.100.3","192.168.100.55","TCP","80","8080",,,"False","False","False","False","1207"
"1528105147.580253000","192.168.100.46","192.168.100.5","TCP","80","80",,,"False","False","False","False","592"
"1528105147.592704000","192.168.100.55","192.168.100.3","TCP","8080","80",,,"False","False","False","False","452"
"1528105147.592709000","192.168.100.6","192.168.100.3","TCP","80","80",,,"False","False","False","False","296"
"1528105147.592714000","192.168.100.3","192.168.100.55","TCP","80","8080",,,"False","False","False","False","527"
"1528105147.592734000","192.168.100.46","192.168.100.5","TCP","80","80",,,"False","False","False","False","1512"
"1528105147.605095000","192.168.100.55","192.168.100.3","TCP","8080","80",,,"False","False","False","False","564"
"1528105147.605101000","192.168.100.3","192.168.100.55","TCP","80","8080",,,"False","False","False","False","1260"
"1528105147.605112000","192.168.100.46","192.168.100.5","TCP","80","80",,,"False","False","False","False","1271"
"1528105147.619038000","192.168.100.55","192.168.100.3","TCP","8080","80",,,"False","False","False","False","1414"
"1528105147.619047000","192.168.100.3","192.168.100.55","TCP","80","8080",,,"False","False","False","False","816"
"1528105147.619068000","192.168.100.46","192.168.100.5","TCP","80","80",,,"False","False","False","False","1305"
"1528105147.631429000","192.168.100.55","192.168.100.3","TCP","8080","80",,,"False","False","False","False","586"
"1528105147.631433000","192.168.100.6","192.168.100.3","TCP","80","80",,,"False","False","False","False","296"
"1528105147.631449000","192.168.100.3","192.168.100.55","TCP","80","8080",,,"False","False","False","False","1498"
"1528105147.631457000","192.168.100.46","192.168.100.5","TCP","80","80",,,"False","False","False","False","1447"
"1528105147.643887000","192.168.100.55","192.168.100.3","TCP","8080","80",,,"False","False","False","False","853"
"1528105147.643891000","192.168.100.3","192.168.100.55","TCP","80","8080",,,"False","False","False","False","1257"
"1528105147.643896000","192.168.100.46","192.168.100.5","TCP","80","80",,,"False","False","False","False","1383"
"1528105147.656319000","192.168.100.55","192.168.100.3","TCP","8080","80",,,"False","False","False","False","1144"
"1528105147.656323000","192.168.100.3","192.168.100.55","TCP","80","8080",,,"False","False","False","False","818"
"1528105147.656327000","192.168.100.46","192.168.100.5","TCP","80","80",,,"False","False","False","False","1462"
"1528105147.668756000","192.168.100.55","192.168.100.3","TCP","8080","80",,,"False","False","False","False","1245"
